family	popularity	description
Queen's Pawn Game	1	1.d4 without committing to the Queen's Gambit. White builds a flexible, classical centre and waits to see Black's setup before choosing between the London System, the Colle, the Catalan, or a c4 push. Most popular first move on Chess.com — solid, low-theory, and well suited to positional players who want to outplay opponents in the middlegame rather than memorise sharp lines.
King's Pawn Game	2	1.e4 e5 with neither side committing yet — the umbrella for classical open games like the Italian, Ruy Lopez, Scotch, and Petrov. Leads to fast development, central tension, and direct piece play. Ideal for players who want to learn classical principles (control the centre, develop knights before bishops, castle early) without diving into a single sharp system.
King's Pawn Opening	2	1.e4 (umbrella label that hasn't yet committed to a system). Functionally the same as "King's Pawn Game" — see that entry.
French Defense	3	1.e4 e6: Black builds a solid pawn chain (e6 + d5) and accepts a slightly cramped position in exchange for a rock-solid structure and a clear pawn-break plan (...c5, sometimes ...f6). White typically gets a space advantage; Black plays for the long game and counterattacks the d4 pawn or White's overextended kingside. Suits patient, defensive players who like manoeuvring and deep strategic battles.
Scandinavian Defense	4	1.e4 d5: Black challenges the centre on move one and accepts an early queen sortie (after 2.exd5 Qxd5) to get a simple, solid game with a clear plan. Easy to learn — a few lines cover most situations — and a great choice for club players who want a system response to 1.e4 without the theory burden of the Sicilian or French.
Sicilian Defense	5	1.e4 c5: the most ambitious response to 1.e4, played in roughly 25% of master games. Black declines the symmetrical 1...e5 to fight for the centre asymmetrically with ...c5 and (usually) ...d6 / ...e6. The richest theoretical battleground in chess — Najdorf, Dragon, Sveshnikov, Taimanov, Kan, Scheveningen, Classical — and the only mainstream response where Black scores better than White on average. Suits aggressive, tactical players willing to invest in theory for winning chances with the black pieces.
Caro-Kann Defense	6	1.e4 c6: Black prepares ...d5 with a pawn move first, getting the same central challenge as the French but without locking in the light-squared bishop. The result is a solid, structurally sound defense with clear plans and far less theory than the Sicilian — the basics can be learned in an evening. Suits positional players who want stability and simplicity, and reliably scores almost as well as the Sicilian for Black.
Italian Game	7	1.e4 e5 2.Nf3 Nc6 3.Bc4: the classical attacking opening — fast development, immediate pressure on f7, and natural plans like d3, c3, and a queenside expansion (the Giuoco Pianissimo) or sharper lines like the Evans Gambit. The friendliest mainline opening for new players, and still played at the very top level by players like Carlsen. Good for anyone who wants a principled, attacking 1.e4 weapon without the theory load of the Ruy Lopez.
Réti Opening	8	1.Nf3 with the idea of fianchettoing the king's bishop and challenging Black's centre from the flank (often transposing to the English or Catalan). Hypermodern in spirit: White invites Black to occupy the centre, then undermines it with c4 and Bg2 pressure on the long diagonal. Suits flexible, strategic players who like a wide range of transpositional options and don't want to be forced into mainline 1.d4 or 1.e4 theory.
Bishop's Opening	9	1.e4 e5 2.Bc4: develops the bishop to its best square immediately and keeps options open between a slow Italian-style buildup or a sharper d4 + Nf3 setup. Often used as a sneaky way to reach a Vienna or a King's Gambit declined while sidestepping Black's preparation against the Italian. Quietly tricky and a favourite of attacking players who want to surprise their opponents on move two.
